ds,y_real,yhat,yhat_lower,yhat_upper,yhat_binary,error,abs_error,match_binary
2026-01-16,1,0.4894777711996499,0.0,1.0,0,0.5105222288003501,0.5105222288003501,0
2026-01-17,1,0.5325697813470613,0.0,1.0,1,0.46743021865293866,0.46743021865293866,1
2026-01-18,1,0.2984005317406562,0.0,1.0,0,0.7015994682593438,0.7015994682593438,0
2026-01-19,1,0.3545330992185608,0.0,1.0,0,0.6454669007814392,0.6454669007814392,0
2026-01-20,1,0.3727227713995372,0.0,1.0,0,0.6272772286004629,0.6272772286004629,0
2026-01-21,1,0.3683369458487985,0.0,1.0,0,0.6316630541512015,0.6316630541512015,0
2026-01-29,1,0.410512616161183,0.0,1.0,0,0.589487383838817,0.589487383838817,0
2026-01-30,1,0.4663730072296542,0.0,1.0,0,0.5336269927703459,0.5336269927703459,0
2026-01-31,1,0.5183489399946163,0.0,1.0,1,0.4816510600053837,0.4816510600053837,1
2026-02-01,1,0.2889293777939173,0.0,1.0,0,0.7110706222060827,0.7110706222060827,0
2026-02-02,1,0.349276983821856,0.0,1.0,0,0.650723016178144,0.650723016178144,0
2026-02-03,1,0.3699551607604102,0.0,1.0,0,0.6300448392395899,0.6300448392395899,0
2026-02-04,1,0.3671063965275856,0.0,1.0,0,0.6328936034724144,0.6328936034724144,0
2026-02-05,1,0.4113263176954326,0.0,1.0,0,0.5886736823045674,0.5886736823045674,0
2026-02-06,1,0.4673376640187168,0.0,1.0,0,0.5326623359812832,0.5326623359812832,0
2026-02-07,1,0.5193256144267053,0.0,1.0,1,0.48067438557329467,0.48067438557329467,1
2026-02-09,1,0.3500248560954015,0.0,1.0,0,0.6499751439045984,0.6499751439045984,0
2026-02-10,1,0.3707532163344192,0.0,1.0,0,0.6292467836655808,0.6292467836655808,0
2026-02-11,1,0.3679015049812631,0.0,1.0,0,0.6320984950187369,0.6320984950187369,0
2026-02-12,1,0.4122200317323661,0.0,1.0,0,0.5877799682676339,0.5877799682676339,0
2026-02-13,1,0.468354966441622,0.0,1.0,0,0.531645033558378,0.531645033558378,0
2026-02-14,1,0.5203370690697219,0.0,1.0,1,0.4796629309302781,0.4796629309302781,1
2026-02-15,1,0.2899278904013452,0.0,1.0,0,0.7100721095986549,0.7100721095986549,0
2026-02-16,1,0.3507879850443068,0.0,1.0,0,0.6492120149556933,0.6492120149556933,0
2026-02-17,1,0.3715618148679049,0.0,1.0,0,0.628438185132095,0.628438185132095,0
2026-02-18,1,0.3687040341870464,0.0,1.0,0,0.6312959658129536,0.6312959658129536,0
2026-02-19,1,0.4131193689165239,0.0,1.0,0,0.5868806310834761,0.5868806310834761,0
2026-02-20,1,0.4693768614555965,0.0,1.0,0,0.5306231385444036,0.5306231385444036,0
2026-02-21,1,0.5213522635935466,0.0,1.0,1,0.4786477364064534,0.4786477364064534,1
2026-02-22,1,0.2904403286419318,0.0,1.0,0,0.7095596713580682,0.7095596713580682,0
2026-02-23,1,0.3515534188730386,0.0,1.0,0,0.6484465811269614,0.6484465811269614,0
2026-02-24,1,0.3723725910685486,0.0,1.0,0,0.6276274089314514,0.6276274089314514,0
2026-02-25,1,0.3695085815412228,0.0,1.0,0,0.6304914184587772,0.6304914184587772,0
2026-02-26,1,0.414020841004079,0.0,1.0,0,0.585979158995921,0.585979158995921,0
2026-03-04,1,0.3703148970542853,0.0,1.0,0,0.6296851029457147,0.6296851029457147,0
2026-03-05,1,0.4149242883168877,0.0,1.0,0,0.5850757116831122,0.5850757116831122,0
2026-03-06,1,0.4714275743284396,0.0,1.0,0,0.5285724256715604,0.5285724256715604,0
