booking_id;fecha_reserva;check_in;check_out;noches;ingresos_total;plataforma;cantidad_personas;uso_tinaja
;;21-06-2025;28-06-2025;7;1489844;Airbnb;;S¡
;;28-06-2025;01-07-2025;0;233000;Interno;;S¡
;;01-07-2025;06-07-2025;5;1100000;Interno;;S¡
;;06-07-2025;09-07-2025;3;660000;intenro;;S¡
;;09-07-2025;11-07-2025;2;433935;Airbnb;;S¡
;;11-07-2025;13-07-2025;2;490000;Interno;;S¡
;;13-07-2025;16-07-2025;3;621974;Airbnb;;S¡
;;16-07-2025;19-07-2025;3;660000;Interno;;S¡
;;19-07-2025;22-07-2025;3;607509;Airbnb;;S¡
;;22-07-2025;28-07-2025;6;1380000;Interno;;S¡
;;28-07-2025;03-08-2025;6;1320000;Recomendaci¢n;;S¡
;;06-08-2025;08-08-2025;2;455006;Airbnb;;No
;;08-08-2025;13-08-2025;5;1150000;Interno;;S¡
;;14-08-2025;17-08-2025;3;765000;Booking;;S¡
;;21-08-2025;24-08-2025;3;750000;itnerno;;S¡
;;29-08-2025;31-08-2025;0;255000;Booking;;No
;;05-09-2025;07-09-2025;2;534500;Booking;;S¡
;;15-09-2025;19-09-2025;4;920000;Interno;;S¡
;;20-09-2025;23-09-2025;3;549651;Airbnb;;S¡
;;24-09-2025;29-09-2025;5;1012512;Airbnb;;S¡
;;13-10-2025;16-10-2025;3;490000;Booking;;S¡
;;31-10-2025;02-11-2025;2;330000;Interno;;No
;;02-11-2025;04-11-2025;2;320000;Interno;;No
;;06-11-2025;09-11-2025;3;433935;Airbnb;;S¡
;;22-11-2025;25-11-2025;3;470000;Interno;;S¡
;;01-12-2025;03-12-2025;2;320000;Interno;;No
;;15-12-2025;18-12-2025;3;480000;Interno;;S¡
;;23-12-2025;25-12-2025;2;289290;Airbnb;;No
;;27-12-2025;29-12-2025;2;340000;Booking;;No
;;29-12-2025;10-01-2025;12;1690909;Interno;;No
